"LengthColumnNames","ColumnNames"
"73","TimeGravityAccelerometer-arCoeff()-Y,1"
"74","TimeGravityAccelerometer-arCoeff()-Y,2"
"75","TimeGravityAccelerometer-arCoeff()-Y,3"
"76","TimeGravityAccelerometer-arCoeff()-Y,4"
"77","TimeGravityAccelerometer-arCoeff()-Z,1"
"78","TimeGravityAccelerometer-arCoeff()-Z,2"
"79","TimeGravityAccelerometer-arCoeff()-Z,3"
"80","TimeGravityAccelerometer-arCoeff()-Z,4"
"81","TimeGravityAccelerometer-correlation()-X,Y"
"82","TimeGravityAccelerometer-correlation()-X,Z"
"83","TimeGravityAccelerometer-correlation()-Y,Z"
"84","TimeBodyAccelerometerJerkMean()-X"
"85","TimeBodyAccelerometerJerkMean()-Y"
"86","TimeBodyAccelerometerJerkMean()-Z"
"87","TimeBodyAccelerometerJerkStd()-X"
"88","TimeBodyAccelerometerJerkStd()-Y"
"89","TimeBodyAccelerometerJerkStd()-Z"
"90","TimeBodyAccelerometerJerk-Median_Absolute_Deviation()-X"
"91","TimeBodyAccelerometerJerk-Median_Absolute_Deviation()-Y"
"92","TimeBodyAccelerometerJerk-Median_Absolute_Deviation()-Z"
"93","TimeBodyAccelerometerJerk-max()-X"
"94","TimeBodyAccelerometerJerk-max()-Y"
"95","TimeBodyAccelerometerJerk-max()-Z"
"96","TimeBodyAccelerometerJerk-min()-X"
"97","TimeBodyAccelerometerJerk-min()-Y"
"98","TimeBodyAccelerometerJerk-min()-Z"
"99","TimeBodyAccelerometerJerk-SignalMagnitudeArea()"
"100","TimeBodyAccelerometerJerk-energy()-X"
"101","TimeBodyAccelerometerJerk-energy()-Y"
"102","TimeBodyAccelerometerJerk-energy()-Z"
"103","TimeBodyAccelerometerJerk-InterquartileRange()-X"
"104","TimeBodyAccelerometerJerk-InterquartileRange()-Y"
"105","TimeBodyAccelerometerJerk-InterquartileRange()-Z"
"106","TimeBodyAccelerometerJerk-entropy()-X"
"107","TimeBodyAccelerometerJerk-entropy()-Y"
"108","TimeBodyAccelerometerJerk-entropy()-Z"
"109","TimeBodyAccelerometerJerk-arCoeff()-X,1"
"110","TimeBodyAccelerometerJerk-arCoeff()-X,2"
"111","TimeBodyAccelerometerJerk-arCoeff()-X,3"
"112","TimeBodyAccelerometerJerk-arCoeff()-X,4"
"113","TimeBodyAccelerometerJerk-arCoeff()-Y,1"
"114","TimeBodyAccelerometerJerk-arCoeff()-Y,2"
"115","TimeBodyAccelerometerJerk-arCoeff()-Y,3"
"116","TimeBodyAccelerometerJerk-arCoeff()-Y,4"
"117","TimeBodyAccelerometerJerk-arCoeff()-Z,1"
"118","TimeBodyAccelerometerJerk-arCoeff()-Z,2"
"119","TimeBodyAccelerometerJerk-arCoeff()-Z,3"
"120","TimeBodyAccelerometerJerk-arCoeff()-Z,4"
"121","TimeBodyAccelerometerJerk-correlation()-X,Y"
"122","TimeBodyAccelerometerJerk-correlation()-X,Z"
"123","TimeBodyAccelerometerJerk-correlation()-Y,Z"
"124","TimeBodyGyroscopeMean()-X"
"125","TimeBodyGyroscopeMean()-Y"
"126","TimeBodyGyroscopeMean()-Z"
"127","TimeBodyGyroscopeStd()-X"
"128","TimeBodyGyroscopeStd()-Y"
"129","TimeBodyGyroscopeStd()-Z"
"130","TimeBodyGyroscope-Median_Absolute_Deviation()-X"
"131","TimeBodyGyroscope-Median_Absolute_Deviation()-Y"
"132","TimeBodyGyroscope-Median_Absolute_Deviation()-Z"
"133","TimeBodyGyroscope-max()-X"
"134","TimeBodyGyroscope-max()-Y"
"135","TimeBodyGyroscope-max()-Z"
"136","TimeBodyGyroscope-min()-X"
"137","TimeBodyGyroscope-min()-Y"
"138","TimeBodyGyroscope-min()-Z"
"139","TimeBodyGyroscope-SignalMagnitudeArea()"
"140","TimeBodyGyroscope-energy()-X"
"141","TimeBodyGyroscope-energy()-Y"
"142","TimeBodyGyroscope-energy()-Z"
"143","TimeBodyGyroscope-InterquartileRange()-X"
"144","TimeBodyGyroscope-InterquartileRange()-Y"
"145","TimeBodyGyroscope-InterquartileRange()-Z"
"146","TimeBodyGyroscope-entropy()-X"
"147","TimeBodyGyroscope-entropy()-Y"
"148","TimeBodyGyroscope-entropy()-Z"
"149","TimeBodyGyroscope-arCoeff()-X,1"
"150","TimeBodyGyroscope-arCoeff()-X,2"
"151","TimeBodyGyroscope-arCoeff()-X,3"
"152","TimeBodyGyroscope-arCoeff()-X,4"
"153","TimeBodyGyroscope-arCoeff()-Y,1"
"154","TimeBodyGyroscope-arCoeff()-Y,2"
"155","TimeBodyGyroscope-arCoeff()-Y,3"
"156","TimeBodyGyroscope-arCoeff()-Y,4"
"157","TimeBodyGyroscope-arCoeff()-Z,1"
"158","TimeBodyGyroscope-arCoeff()-Z,2"
"159","TimeBodyGyroscope-arCoeff()-Z,3"
"160","TimeBodyGyroscope-arCoeff()-Z,4"
"161","TimeBodyGyroscope-correlation()-X,Y"
"162","TimeBodyGyroscope-correlation()-X,Z"
"163","TimeBodyGyroscope-correlation()-Y,Z"
"164","TimeBodyGyroscopeJerkMean()-X"
"165","TimeBodyGyroscopeJerkMean()-Y"
"166","TimeBodyGyroscopeJerkMean()-Z"
"167","TimeBodyGyroscopeJerkStd()-X"
"168","TimeBodyGyroscopeJerkStd()-Y"
"169","TimeBodyGyroscopeJerkStd()-Z"
"170","TimeBodyGyroscopeJerk-Median_Absolute_Deviation()-X"
"171","TimeBodyGyroscopeJerk-Median_Absolute_Deviation()-Y"
"172","TimeBodyGyroscopeJerk-Median_Absolute_Deviation()-Z"
"173","TimeBodyGyroscopeJerk-max()-X"
"174","TimeBodyGyroscopeJerk-max()-Y"
"175","TimeBodyGyroscopeJerk-max()-Z"
"176","TimeBodyGyroscopeJerk-min()-X"
"177","TimeBodyGyroscopeJerk-min()-Y"
"178","TimeBodyGyroscopeJerk-min()-Z"
"179","TimeBodyGyroscopeJerk-SignalMagnitudeArea()"
"180","TimeBodyGyroscopeJerk-energy()-X"
"181","TimeBodyGyroscopeJerk-energy()-Y"
"182","TimeBodyGyroscopeJerk-energy()-Z"
"183","TimeBodyGyroscopeJerk-InterquartileRange()-X"
"184","TimeBodyGyroscopeJerk-InterquartileRange()-Y"
"185","TimeBodyGyroscopeJerk-InterquartileRange()-Z"
"186","TimeBodyGyroscopeJerk-entropy()-X"
"187","TimeBodyGyroscopeJerk-entropy()-Y"
"188","TimeBodyGyroscopeJerk-entropy()-Z"
"189","TimeBodyGyroscopeJerk-arCoeff()-X,1"
"190","TimeBodyGyroscopeJerk-arCoeff()-X,2"
"191","TimeBodyGyroscopeJerk-arCoeff()-X,3"
"192","TimeBodyGyroscopeJerk-arCoeff()-X,4"
"193","TimeBodyGyroscopeJerk-arCoeff()-Y,1"
"194","TimeBodyGyroscopeJerk-arCoeff()-Y,2"
"195","TimeBodyGyroscopeJerk-arCoeff()-Y,3"
"196","TimeBodyGyroscopeJerk-arCoeff()-Y,4"
"197","TimeBodyGyroscopeJerk-arCoeff()-Z,1"
"198","TimeBodyGyroscopeJerk-arCoeff()-Z,2"
"199","TimeBodyGyroscopeJerk-arCoeff()-Z,3"
"200","TimeBodyGyroscopeJerk-arCoeff()-Z,4"
"201","TimeBodyGyroscopeJerk-correlation()-X,Y"
"202","TimeBodyGyroscopeJerk-correlation()-X,Z"
"203","TimeBodyGyroscopeJerk-correlation()-Y,Z"
"204","TimeBodyAccelerometerMagnitudeMean()"
"205","TimeBodyAccelerometerMagnitudeStd()"
"206","TimeBodyAccelerometerMagnitude-Median_Absolute_Deviation()"
"207","TimeBodyAccelerometerMagnitude-max()"
"208","TimeBodyAccelerometerMagnitude-min()"
"209","TimeBodyAccelerometerMagnitude-SignalMagnitudeArea()"
"210","TimeBodyAccelerometerMagnitude-energy()"
"211","TimeBodyAccelerometerMagnitude-InterquartileRange()"
"212","TimeBodyAccelerometerMagnitude-entropy()"
"213","TimeBodyAccelerometerMagnitude-arCoeff()1"
"214","TimeBodyAccelerometerMagnitude-arCoeff()2"
"215","TimeBodyAccelerometerMagnitude-arCoeff()3"
"216","TimeBodyAccelerometerMagnitude-arCoeff()4"
"217","TimeGravityAccelerometerMagnitudeMean()"
"218","TimeGravityAccelerometerMagnitudeStd()"
"219","TimeGravityAccelerometerMagnitude-Median_Absolute_Deviation()"
"220","TimeGravityAccelerometerMagnitude-max()"
"221","TimeGravityAccelerometerMagnitude-min()"
"222","TimeGravityAccelerometerMagnitude-SignalMagnitudeArea()"
"223","TimeGravityAccelerometerMagnitude-energy()"
"224","TimeGravityAccelerometerMagnitude-InterquartileRange()"
"225","TimeGravityAccelerometerMagnitude-entropy()"
"226","TimeGravityAccelerometerMagnitude-arCoeff()1"
"227","TimeGravityAccelerometerMagnitude-arCoeff()2"
"228","TimeGravityAccelerometerMagnitude-arCoeff()3"
"229","TimeGravityAccelerometerMagnitude-arCoeff()4"
"230","TimeBodyAccelerometerJerkMagnitudeMean()"
"231","TimeBodyAccelerometerJerkMagnitudeStd()"
"232","TimeBodyAccelerometerJerkMagnitude-Median_Absolute_Deviation()"
"233","TimeBodyAccelerometerJerkMagnitude-max()"
"234","TimeBodyAccelerometerJerkMagnitude-min()"
"235","TimeBodyAccelerometerJerkMagnitude-SignalMagnitudeArea()"
"236","TimeBodyAccelerometerJerkMagnitude-energy()"
"237","TimeBodyAccelerometerJerkMagnitude-InterquartileRange()"
"238","TimeBodyAccelerometerJerkMagnitude-entropy()"
"239","TimeBodyAccelerometerJerkMagnitude-arCoeff()1"
"240","TimeBodyAccelerometerJerkMagnitude-arCoeff()2"
"241","TimeBodyAccelerometerJerkMagnitude-arCoeff()3"
"242","TimeBodyAccelerometerJerkMagnitude-arCoeff()4"
"243","TimeBodyGyroscopeMagnitudeMean()"
"244","TimeBodyGyroscopeMagnitudeStd()"
"245","TimeBodyGyroscopeMagnitude-Median_Absolute_Deviation()"
"246","TimeBodyGyroscopeMagnitude-max()"
"247","TimeBodyGyroscopeMagnitude-min()"
"248","TimeBodyGyroscopeMagnitude-SignalMagnitudeArea()"
"249","TimeBodyGyroscopeMagnitude-energy()"
"250","TimeBodyGyroscopeMagnitude-InterquartileRange()"
"251","TimeBodyGyroscopeMagnitude-entropy()"
"252","TimeBodyGyroscopeMagnitude-arCoeff()1"
"253","TimeBodyGyroscopeMagnitude-arCoeff()2"
"254","TimeBodyGyroscopeMagnitude-arCoeff()3"
"255","TimeBodyGyroscopeMagnitude-arCoeff()4"
"256","TimeBodyGyroscopeJerkMagnitudeMean()"
"257","TimeBodyGyroscopeJerkMagnitudeStd()"
"258","TimeBodyGyroscopeJerkMagnitude-Median_Absolute_Deviation()"
"259","TimeBodyGyroscopeJerkMagnitude-max()"
"260","TimeBodyGyroscopeJerkMagnitude-min()"
"261","TimeBodyGyroscopeJerkMagnitude-SignalMagnitudeArea()"
"262","TimeBodyGyroscopeJerkMagnitude-energy()"
"263","TimeBodyGyroscopeJerkMagnitude-InterquartileRange()"
"264","TimeBodyGyroscopeJerkMagnitude-entropy()"
"265","TimeBodyGyroscopeJerkMagnitude-arCoeff()1"
"266","TimeBodyGyroscopeJerkMagnitude-arCoeff()2"
"267","TimeBodyGyroscopeJerkMagnitude-arCoeff()3"
"268","TimeBodyGyroscopeJerkMagnitude-arCoeff()4"
"269","FrequencyBodyAccelerometerMean()-X"
"270","FrequencyBodyAccelerometerMean()-Y"
"271","FrequencyBodyAccelerometerMean()-Z"
"272","FrequencyBodyAccelerometerStd()-X"
"273","FrequencyBodyAccelerometerStd()-Y"
"274","FrequencyBodyAccelerometerStd()-Z"
"275","FrequencyBodyAccelerometer-Median_Absolute_Deviation()-X"
"276","FrequencyBodyAccelerometer-Median_Absolute_Deviation()-Y"
"277","FrequencyBodyAccelerometer-Median_Absolute_Deviation()-Z"
"278","FrequencyBodyAccelerometer-max()-X"
"279","FrequencyBodyAccelerometer-max()-Y"
"280","FrequencyBodyAccelerometer-max()-Z"
"281","FrequencyBodyAccelerometer-min()-X"
"282","FrequencyBodyAccelerometer-min()-Y"
"283","FrequencyBodyAccelerometer-min()-Z"
"284","FrequencyBodyAccelerometer-SignalMagnitudeArea()"
"285","FrequencyBodyAccelerometer-energy()-X"
"286","FrequencyBodyAccelerometer-energy()-Y"
"287","FrequencyBodyAccelerometer-energy()-Z"
"288","FrequencyBodyAccelerometer-InterquartileRange()-X"
"289","FrequencyBodyAccelerometer-InterquartileRange()-Y"
"290","FrequencyBodyAccelerometer-InterquartileRange()-Z"
"291","FrequencyBodyAccelerometer-entropy()-X"
"292","FrequencyBodyAccelerometer-entropy()-Y"
"293","FrequencyBodyAccelerometer-entropy()-Z"
"294","FrequencyBodyAccelerometer-MaximumFrequencyMagnitudeIndex-X"
"295","FrequencyBodyAccelerometer-MaximumFrequencyMagnitudeIndex-Y"
"296","FrequencyBodyAccelerometer-MaximumFrequencyMagnitudeIndex-Z"
"297","FrequencyBodyAccelerometerMeanFrequency()-X"
"298","FrequencyBodyAccelerometerMeanFrequency()-Y"
"299","FrequencyBodyAccelerometerMeanFrequency()-Z"
"300","FrequencyBodyAccelerometer-skewness()-X"
"301","FrequencyBodyAccelerometer-kurtosis()-X"
"302","FrequencyBodyAccelerometer-skewness()-Y"
"303","FrequencyBodyAccelerometer-kurtosis()-Y"
"304","FrequencyBodyAccelerometer-skewness()-Z"
"305","FrequencyBodyAccelerometer-kurtosis()-Z"
"306","FrequencyBodyAccelerometer-bandsEnergy()-1,8"
"307","FrequencyBodyAccelerometer-bandsEnergy()-9,16"
"308","FrequencyBodyAccelerometer-bandsEnergy()-17,24"
"309","FrequencyBodyAccelerometer-bandsEnergy()-25,32"
"310","FrequencyBodyAccelerometer-bandsEnergy()-33,40"
"311","FrequencyBodyAccelerometer-bandsEnergy()-41,48"
"312","FrequencyBodyAccelerometer-bandsEnergy()-49,56"
"313","FrequencyBodyAccelerometer-bandsEnergy()-57,64"
"314","FrequencyBodyAccelerometer-bandsEnergy()-1,16"
"315","FrequencyBodyAccelerometer-bandsEnergy()-17,32"
"316","FrequencyBodyAccelerometer-bandsEnergy()-33,48"
"317","FrequencyBodyAccelerometer-bandsEnergy()-49,64"
"318","FrequencyBodyAccelerometer-bandsEnergy()-1,24"
"319","FrequencyBodyAccelerometer-bandsEnergy()-25,48"
"320","FrequencyBodyAccelerometer-bandsEnergy()-1,8"
"321","FrequencyBodyAccelerometer-bandsEnergy()-9,16"
"322","FrequencyBodyAccelerometer-bandsEnergy()-17,24"
"323","FrequencyBodyAccelerometer-bandsEnergy()-25,32"
"324","FrequencyBodyAccelerometer-bandsEnergy()-33,40"
"325","FrequencyBodyAccelerometer-bandsEnergy()-41,48"
"326","FrequencyBodyAccelerometer-bandsEnergy()-49,56"
"327","FrequencyBodyAccelerometer-bandsEnergy()-57,64"
"328","FrequencyBodyAccelerometer-bandsEnergy()-1,16"
"329","FrequencyBodyAccelerometer-bandsEnergy()-17,32"
"330","FrequencyBodyAccelerometer-bandsEnergy()-33,48"
"331","FrequencyBodyAccelerometer-bandsEnergy()-49,64"
"332","FrequencyBodyAccelerometer-bandsEnergy()-1,24"
"333","FrequencyBodyAccelerometer-bandsEnergy()-25,48"
"334","FrequencyBodyAccelerometer-bandsEnergy()-1,8"
"335","FrequencyBodyAccelerometer-bandsEnergy()-9,16"
"336","FrequencyBodyAccelerometer-bandsEnergy()-17,24"
"337","FrequencyBodyAccelerometer-bandsEnergy()-25,32"
"338","FrequencyBodyAccelerometer-bandsEnergy()-33,40"
"339","FrequencyBodyAccelerometer-bandsEnergy()-41,48"
"340","FrequencyBodyAccelerometer-bandsEnergy()-49,56"
"341","FrequencyBodyAccelerometer-bandsEnergy()-57,64"
"342","FrequencyBodyAccelerometer-bandsEnergy()-1,16"
"343","FrequencyBodyAccelerometer-bandsEnergy()-17,32"
"344","FrequencyBodyAccelerometer-bandsEnergy()-33,48"
"345","FrequencyBodyAccelerometer-bandsEnergy()-49,64"
"346","FrequencyBodyAccelerometer-bandsEnergy()-1,24"
"347","FrequencyBodyAccelerometer-bandsEnergy()-25,48"
"348","FrequencyBodyAccelerometerJerkMean()-X"
"349","FrequencyBodyAccelerometerJerkMean()-Y"
"350","FrequencyBodyAccelerometerJerkMean()-Z"
"351","FrequencyBodyAccelerometerJerkStd()-X"
"352","FrequencyBodyAccelerometerJerkStd()-Y"
"353","FrequencyBodyAccelerometerJerkStd()-Z"
"354","FrequencyBodyAccelerometerJerk-Median_Absolute_Deviation()-X"
"355","FrequencyBodyAccelerometerJerk-Median_Absolute_Deviation()-Y"
"356","FrequencyBodyAccelerometerJerk-Median_Absolute_Deviation()-Z"
"357","FrequencyBodyAccelerometerJerk-max()-X"
"358","FrequencyBodyAccelerometerJerk-max()-Y"
"359","FrequencyBodyAccelerometerJerk-max()-Z"
"360","FrequencyBodyAccelerometerJerk-min()-X"
"361","FrequencyBodyAccelerometerJerk-min()-Y"
"362","FrequencyBodyAccelerometerJerk-min()-Z"
"363","FrequencyBodyAccelerometerJerk-SignalMagnitudeArea()"
"364","FrequencyBodyAccelerometerJerk-energy()-X"
"365","FrequencyBodyAccelerometerJerk-energy()-Y"
"366","FrequencyBodyAccelerometerJerk-energy()-Z"
"367","FrequencyBodyAccelerometerJerk-InterquartileRange()-X"
"368","FrequencyBodyAccelerometerJerk-InterquartileRange()-Y"
"369","FrequencyBodyAccelerometerJerk-InterquartileRange()-Z"
"370","FrequencyBodyAccelerometerJerk-entropy()-X"
"371","FrequencyBodyAccelerometerJerk-entropy()-Y"
"372","FrequencyBodyAccelerometerJerk-entropy()-Z"
"373","FrequencyBodyAccelerometerJerk-MaximumFrequencyMagnitudeIndex-X"
"374","FrequencyBodyAccelerometerJerk-MaximumFrequencyMagnitudeIndex-Y"
"375","FrequencyBodyAccelerometerJerk-MaximumFrequencyMagnitudeIndex-Z"
"376","FrequencyBodyAccelerometerJerkMeanFrequency()-X"
"377","FrequencyBodyAccelerometerJerkMeanFrequency()-Y"
"378","FrequencyBodyAccelerometerJerkMeanFrequency()-Z"
"379","FrequencyBodyAccelerometerJerk-skewness()-X"
"380","FrequencyBodyAccelerometerJerk-kurtosis()-X"
"381","FrequencyBodyAccelerometerJerk-skewness()-Y"
"382","FrequencyBodyAccelerometerJerk-kurtosis()-Y"
"383","FrequencyBodyAccelerometerJerk-skewness()-Z"
"384","FrequencyBodyAccelerometerJerk-kurtosis()-Z"
"385","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,8"
"386","FrequencyBodyAccelerometerJerk-bandsEnergy()-9,16"
"387","FrequencyBodyAccelerometerJerk-bandsEnergy()-17,24"
"388","FrequencyBodyAccelerometerJerk-bandsEnergy()-25,32"
"389","FrequencyBodyAccelerometerJerk-bandsEnergy()-33,40"
"390","FrequencyBodyAccelerometerJerk-bandsEnergy()-41,48"
"391","FrequencyBodyAccelerometerJerk-bandsEnergy()-49,56"
"392","FrequencyBodyAccelerometerJerk-bandsEnergy()-57,64"
"393","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,16"
"394","FrequencyBodyAccelerometerJerk-bandsEnergy()-17,32"
"395","FrequencyBodyAccelerometerJerk-bandsEnergy()-33,48"
"396","FrequencyBodyAccelerometerJerk-bandsEnergy()-49,64"
"397","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,24"
"398","FrequencyBodyAccelerometerJerk-bandsEnergy()-25,48"
"399","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,8"
"400","FrequencyBodyAccelerometerJerk-bandsEnergy()-9,16"
"401","FrequencyBodyAccelerometerJerk-bandsEnergy()-17,24"
"402","FrequencyBodyAccelerometerJerk-bandsEnergy()-25,32"
"403","FrequencyBodyAccelerometerJerk-bandsEnergy()-33,40"
"404","FrequencyBodyAccelerometerJerk-bandsEnergy()-41,48"
"405","FrequencyBodyAccelerometerJerk-bandsEnergy()-49,56"
"406","FrequencyBodyAccelerometerJerk-bandsEnergy()-57,64"
"407","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,16"
"408","FrequencyBodyAccelerometerJerk-bandsEnergy()-17,32"
"409","FrequencyBodyAccelerometerJerk-bandsEnergy()-33,48"
"410","FrequencyBodyAccelerometerJerk-bandsEnergy()-49,64"
"411","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,24"
"412","FrequencyBodyAccelerometerJerk-bandsEnergy()-25,48"
"413","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,8"
"414","FrequencyBodyAccelerometerJerk-bandsEnergy()-9,16"
"415","FrequencyBodyAccelerometerJerk-bandsEnergy()-17,24"
"416","FrequencyBodyAccelerometerJerk-bandsEnergy()-25,32"
"417","FrequencyBodyAccelerometerJerk-bandsEnergy()-33,40"
"418","FrequencyBodyAccelerometerJerk-bandsEnergy()-41,48"
"419","FrequencyBodyAccelerometerJerk-bandsEnergy()-49,56"
"420","FrequencyBodyAccelerometerJerk-bandsEnergy()-57,64"
"421","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,16"
"422","FrequencyBodyAccelerometerJerk-bandsEnergy()-17,32"
"423","FrequencyBodyAccelerometerJerk-bandsEnergy()-33,48"
"424","FrequencyBodyAccelerometerJerk-bandsEnergy()-49,64"
"425","FrequencyBodyAccelerometerJerk-bandsEnergy()-1,24"
"426","FrequencyBodyAccelerometerJerk-bandsEnergy()-25,48"
"427","FrequencyBodyGyroscopeMean()-X"
"428","FrequencyBodyGyroscopeMean()-Y"
"429","FrequencyBodyGyroscopeMean()-Z"
"430","FrequencyBodyGyroscopeStd()-X"
"431","FrequencyBodyGyroscopeStd()-Y"
"432","FrequencyBodyGyroscopeStd()-Z"
"433","FrequencyBodyGyroscope-Median_Absolute_Deviation()-X"
"434","FrequencyBodyGyroscope-Median_Absolute_Deviation()-Y"
"435","FrequencyBodyGyroscope-Median_Absolute_Deviation()-Z"
"436","FrequencyBodyGyroscope-max()-X"
"437","FrequencyBodyGyroscope-max()-Y"
"438","FrequencyBodyGyroscope-max()-Z"
"439","FrequencyBodyGyroscope-min()-X"
"440","FrequencyBodyGyroscope-min()-Y"
"441","FrequencyBodyGyroscope-min()-Z"
"442","FrequencyBodyGyroscope-SignalMagnitudeArea()"
"443","FrequencyBodyGyroscope-energy()-X"
"444","FrequencyBodyGyroscope-energy()-Y"
"445","FrequencyBodyGyroscope-energy()-Z"
"446","FrequencyBodyGyroscope-InterquartileRange()-X"
"447","FrequencyBodyGyroscope-InterquartileRange()-Y"
"448","FrequencyBodyGyroscope-InterquartileRange()-Z"
"449","FrequencyBodyGyroscope-entropy()-X"
"450","FrequencyBodyGyroscope-entropy()-Y"
"451","FrequencyBodyGyroscope-entropy()-Z"
"452","FrequencyBodyGyroscope-MaximumFrequencyMagnitudeIndex-X"
"453","FrequencyBodyGyroscope-MaximumFrequencyMagnitudeIndex-Y"
"454","FrequencyBodyGyroscope-MaximumFrequencyMagnitudeIndex-Z"
"455","FrequencyBodyGyroscopeMeanFrequency()-X"
"456","FrequencyBodyGyroscopeMeanFrequency()-Y"
"457","FrequencyBodyGyroscopeMeanFrequency()-Z"
"458","FrequencyBodyGyroscope-skewness()-X"
"459","FrequencyBodyGyroscope-kurtosis()-X"
"460","FrequencyBodyGyroscope-skewness()-Y"
"461","FrequencyBodyGyroscope-kurtosis()-Y"
"462","FrequencyBodyGyroscope-skewness()-Z"
"463","FrequencyBodyGyroscope-kurtosis()-Z"
"464","FrequencyBodyGyroscope-bandsEnergy()-1,8"
"465","FrequencyBodyGyroscope-bandsEnergy()-9,16"
"466","FrequencyBodyGyroscope-bandsEnergy()-17,24"
"467","FrequencyBodyGyroscope-bandsEnergy()-25,32"
"468","FrequencyBodyGyroscope-bandsEnergy()-33,40"
"469","FrequencyBodyGyroscope-bandsEnergy()-41,48"
"470","FrequencyBodyGyroscope-bandsEnergy()-49,56"
"471","FrequencyBodyGyroscope-bandsEnergy()-57,64"
"472","FrequencyBodyGyroscope-bandsEnergy()-1,16"
"473","FrequencyBodyGyroscope-bandsEnergy()-17,32"
"474","FrequencyBodyGyroscope-bandsEnergy()-33,48"
"475","FrequencyBodyGyroscope-bandsEnergy()-49,64"
