"LengthColumnNames","SubjectTestTrain_Vector","SubjectTestTrain_Vector_New"
52,"tGravityAcc.mad...Z","TimeGravityAccelerometer-Median_Absolute_Deviation()-Z"
53,"tGravityAcc.max...X","TimeGravityAccelerometer-max()-X"
54,"tGravityAcc.max...Y","TimeGravityAccelerometer-max()-Y"
55,"tGravityAcc.max...Z","TimeGravityAccelerometer-max()-Z"
56,"tGravityAcc.min...X","TimeGravityAccelerometer-min()-X"
57,"tGravityAcc.min...Y","TimeGravityAccelerometer-min()-Y"
58,"tGravityAcc.min...Z","TimeGravityAccelerometer-min()-Z"
59,"tGravityAcc.sma..","TimeGravityAccelerometer-SignalMagnitudeArea()"
60,"tGravityAcc.energy...X","TimeGravityAccelerometer-energy()-X"
61,"tGravityAcc.energy...Y","TimeGravityAccelerometer-energy()-Y"
62,"tGravityAcc.energy...Z","TimeGravityAccelerometer-energy()-Z"
63,"tGravityAcc.iqr...X","TimeGravityAccelerometer-InterquartileRange()-X"
64,"tGravityAcc.iqr...Y","TimeGravityAccelerometer-InterquartileRange()-Y"
65,"tGravityAcc.iqr...Z","TimeGravityAccelerometer-InterquartileRange()-Z"
66,"tGravityAcc.entropy...X","TimeGravityAccelerometer-entropy()-X"
67,"tGravityAcc.entropy...Y","TimeGravityAccelerometer-entropy()-Y"
68,"tGravityAcc.entropy...Z","TimeGravityAccelerometer-entropy()-Z"
69,"tGravityAcc.arCoeff...X.1","TimeGravityAccelerometer-arCoeff()-X,1"
70,"tGravityAcc.arCoeff...X.2","TimeGravityAccelerometer-arCoeff()-X,2"
71,"tGravityAcc.arCoeff...X.3","TimeGravityAccelerometer-arCoeff()-X,3"
72,"tGravityAcc.arCoeff...X.4","TimeGravityAccelerometer-arCoeff()-X,4"
73,"tGravityAcc.arCoeff...Y.1","TimeGravityAccelerometer-arCoeff()-Y,1"
74,"tGravityAcc.arCoeff...Y.2","TimeGravityAccelerometer-arCoeff()-Y,2"
75,"tGravityAcc.arCoeff...Y.3","TimeGravityAccelerometer-arCoeff()-Y,3"
76,"tGravityAcc.arCoeff...Y.4","TimeGravityAccelerometer-arCoeff()-Y,4"
77,"tGravityAcc.arCoeff...Z.1","TimeGravityAccelerometer-arCoeff()-Z,1"
78,"tGravityAcc.arCoeff...Z.2","TimeGravityAccelerometer-arCoeff()-Z,2"
79,"tGravityAcc.arCoeff...Z.3","TimeGravityAccelerometer-arCoeff()-Z,3"
80,"tGravityAcc.arCoeff...Z.4","TimeGravityAccelerometer-arCoeff()-Z,4"
81,"tGravityAcc.correlation...X.Y","TimeGravityAccelerometer-correlation()-X,Y"
82,"tGravityAcc.correlation...X.Z","TimeGravityAccelerometer-correlation()-X,Z"
83,"tGravityAcc.correlation...Y.Z","TimeGravityAccelerometer-correlation()-Y,Z"
84,"tBodyAccJerk.mean...X","TimeBodyAccelerometerJerkMean()-X"
85,"tBodyAccJerk.mean...Y","TimeBodyAccelerometerJerkMean()-Y"
86,"tBodyAccJerk.mean...Z","TimeBodyAccelerometerJerkMean()-Z"
87,"tBodyAccJerk.std...X","TimeBodyAccelerometerJerkStd()-X"
88,"tBodyAccJerk.std...Y","TimeBodyAccelerometerJerkStd()-Y"
89,"tBodyAccJerk.std...Z","TimeBodyAccelerometerJerkStd()-Z"
90,"tBodyAccJerk.mad...X","TimeBodyAccelerometerJerk-Median_Absolute_Deviation()-X"
91,"tBodyAccJerk.mad...Y","TimeBodyAccelerometerJerk-Median_Absolute_Deviation()-Y"
92,"tBodyAccJerk.mad...Z","TimeBodyAccelerometerJerk-Median_Absolute_Deviation()-Z"
93,"tBodyAccJerk.max...X","TimeBodyAccelerometerJerk-max()-X"
94,"tBodyAccJerk.max...Y","TimeBodyAccelerometerJerk-max()-Y"
95,"tBodyAccJerk.max...Z","TimeBodyAccelerometerJerk-max()-Z"
96,"tBodyAccJerk.min...X","TimeBodyAccelerometerJerk-min()-X"
97,"tBodyAccJerk.min...Y","TimeBodyAccelerometerJerk-min()-Y"
98,"tBodyAccJerk.min...Z","TimeBodyAccelerometerJerk-min()-Z"
99,"tBodyAccJerk.sma..","TimeBodyAccelerometerJerk-SignalMagnitudeArea()"
100,"tBodyAccJerk.energy...X","TimeBodyAccelerometerJerk-energy()-X"
101,"tBodyAccJerk.energy...Y","TimeBodyAccelerometerJerk-energy()-Y"
102,"tBodyAccJerk.energy...Z","TimeBodyAccelerometerJerk-energy()-Z"
103,"tBodyAccJerk.iqr...X","TimeBodyAccelerometerJerk-InterquartileRange()-X"
104,"tBodyAccJerk.iqr...Y","TimeBodyAccelerometerJerk-InterquartileRange()-Y"
105,"tBodyAccJerk.iqr...Z","TimeBodyAccelerometerJerk-InterquartileRange()-Z"
106,"tBodyAccJerk.entropy...X","TimeBodyAccelerometerJerk-entropy()-X"
107,"tBodyAccJerk.entropy...Y","TimeBodyAccelerometerJerk-entropy()-Y"
108,"tBodyAccJerk.entropy...Z","TimeBodyAccelerometerJerk-entropy()-Z"
109,"tBodyAccJerk.arCoeff...X.1","TimeBodyAccelerometerJerk-arCoeff()-X,1"
110,"tBodyAccJerk.arCoeff...X.2","TimeBodyAccelerometerJerk-arCoeff()-X,2"
111,"tBodyAccJerk.arCoeff...X.3","TimeBodyAccelerometerJerk-arCoeff()-X,3"
112,"tBodyAccJerk.arCoeff...X.4","TimeBodyAccelerometerJerk-arCoeff()-X,4"
113,"tBodyAccJerk.arCoeff...Y.1","TimeBodyAccelerometerJerk-arCoeff()-Y,1"
114,"tBodyAccJerk.arCoeff...Y.2","TimeBodyAccelerometerJerk-arCoeff()-Y,2"
115,"tBodyAccJerk.arCoeff...Y.3","TimeBodyAccelerometerJerk-arCoeff()-Y,3"
116,"tBodyAccJerk.arCoeff...Y.4","TimeBodyAccelerometerJerk-arCoeff()-Y,4"
117,"tBodyAccJerk.arCoeff...Z.1","TimeBodyAccelerometerJerk-arCoeff()-Z,1"
118,"tBodyAccJerk.arCoeff...Z.2","TimeBodyAccelerometerJerk-arCoeff()-Z,2"
119,"tBodyAccJerk.arCoeff...Z.3","TimeBodyAccelerometerJerk-arCoeff()-Z,3"
120,"tBodyAccJerk.arCoeff...Z.4","TimeBodyAccelerometerJerk-arCoeff()-Z,4"
121,"tBodyAccJerk.correlation...X.Y","TimeBodyAccelerometerJerk-correlation()-X,Y"
122,"tBodyAccJerk.correlation...X.Z","TimeBodyAccelerometerJerk-correlation()-X,Z"
123,"tBodyAccJerk.correlation...Y.Z","TimeBodyAccelerometerJerk-correlation()-Y,Z"
124,"tBodyGyro.mean...X","TimeBodyGyroscopeMean()-X"
125,"tBodyGyro.mean...Y","TimeBodyGyroscopeMean()-Y"
126,"tBodyGyro.mean...Z","TimeBodyGyroscopeMean()-Z"
127,"tBodyGyro.std...X","TimeBodyGyroscopeStd()-X"
128,"tBodyGyro.std...Y","TimeBodyGyroscopeStd()-Y"
129,"tBodyGyro.std...Z","TimeBodyGyroscopeStd()-Z"
130,"tBodyGyro.mad...X","TimeBodyGyroscope-Median_Absolute_Deviation()-X"
131,"tBodyGyro.mad...Y","TimeBodyGyroscope-Median_Absolute_Deviation()-Y"
132,"tBodyGyro.mad...Z","TimeBodyGyroscope-Median_Absolute_Deviation()-Z"
133,"tBodyGyro.max...X","TimeBodyGyroscope-max()-X"
134,"tBodyGyro.max...Y","TimeBodyGyroscope-max()-Y"
135,"tBodyGyro.max...Z","TimeBodyGyroscope-max()-Z"
136,"tBodyGyro.min...X","TimeBodyGyroscope-min()-X"
137,"tBodyGyro.min...Y","TimeBodyGyroscope-min()-Y"
138,"tBodyGyro.min...Z","TimeBodyGyroscope-min()-Z"
139,"tBodyGyro.sma..","TimeBodyGyroscope-SignalMagnitudeArea()"
140,"tBodyGyro.energy...X","TimeBodyGyroscope-energy()-X"
141,"tBodyGyro.energy...Y","TimeBodyGyroscope-energy()-Y"
142,"tBodyGyro.energy...Z","TimeBodyGyroscope-energy()-Z"
143,"tBodyGyro.iqr...X","TimeBodyGyroscope-InterquartileRange()-X"
144,"tBodyGyro.iqr...Y","TimeBodyGyroscope-InterquartileRange()-Y"
145,"tBodyGyro.iqr...Z","TimeBodyGyroscope-InterquartileRange()-Z"
146,"tBodyGyro.entropy...X","TimeBodyGyroscope-entropy()-X"
147,"tBodyGyro.entropy...Y","TimeBodyGyroscope-entropy()-Y"
148,"tBodyGyro.entropy...Z","TimeBodyGyroscope-entropy()-Z"
149,"tBodyGyro.arCoeff...X.1","TimeBodyGyroscope-arCoeff()-X,1"
150,"tBodyGyro.arCoeff...X.2","TimeBodyGyroscope-arCoeff()-X,2"
151,"tBodyGyro.arCoeff...X.3","TimeBodyGyroscope-arCoeff()-X,3"
152,"tBodyGyro.arCoeff...X.4","TimeBodyGyroscope-arCoeff()-X,4"
153,"tBodyGyro.arCoeff...Y.1","TimeBodyGyroscope-arCoeff()-Y,1"
154,"tBodyGyro.arCoeff...Y.2","TimeBodyGyroscope-arCoeff()-Y,2"
155,"tBodyGyro.arCoeff...Y.3","TimeBodyGyroscope-arCoeff()-Y,3"
156,"tBodyGyro.arCoeff...Y.4","TimeBodyGyroscope-arCoeff()-Y,4"
157,"tBodyGyro.arCoeff...Z.1","TimeBodyGyroscope-arCoeff()-Z,1"
158,"tBodyGyro.arCoeff...Z.2","TimeBodyGyroscope-arCoeff()-Z,2"
159,"tBodyGyro.arCoeff...Z.3","TimeBodyGyroscope-arCoeff()-Z,3"
160,"tBodyGyro.arCoeff...Z.4","TimeBodyGyroscope-arCoeff()-Z,4"
161,"tBodyGyro.correlation...X.Y","TimeBodyGyroscope-correlation()-X,Y"
162,"tBodyGyro.correlation...X.Z","TimeBodyGyroscope-correlation()-X,Z"
163,"tBodyGyro.correlation...Y.Z","TimeBodyGyroscope-correlation()-Y,Z"
164,"tBodyGyroJerk.mean...X","TimeBodyGyroscopeJerkMean()-X"
165,"tBodyGyroJerk.mean...Y","TimeBodyGyroscopeJerkMean()-Y"
166,"tBodyGyroJerk.mean...Z","TimeBodyGyroscopeJerkMean()-Z"
167,"tBodyGyroJerk.std...X","TimeBodyGyroscopeJerkStd()-X"
168,"tBodyGyroJerk.std...Y","TimeBodyGyroscopeJerkStd()-Y"
169,"tBodyGyroJerk.std...Z","TimeBodyGyroscopeJerkStd()-Z"
170,"tBodyGyroJerk.mad...X","TimeBodyGyroscopeJerk-Median_Absolute_Deviation()-X"
171,"tBodyGyroJerk.mad...Y","TimeBodyGyroscopeJerk-Median_Absolute_Deviation()-Y"
172,"tBodyGyroJerk.mad...Z","TimeBodyGyroscopeJerk-Median_Absolute_Deviation()-Z"
173,"tBodyGyroJerk.max...X","TimeBodyGyroscopeJerk-max()-X"
174,"tBodyGyroJerk.max...Y","TimeBodyGyroscopeJerk-max()-Y"
175,"tBodyGyroJerk.max...Z","TimeBodyGyroscopeJerk-max()-Z"
176,"tBodyGyroJerk.min...X","TimeBodyGyroscopeJerk-min()-X"
177,"tBodyGyroJerk.min...Y","TimeBodyGyroscopeJerk-min()-Y"
178,"tBodyGyroJerk.min...Z","TimeBodyGyroscopeJerk-min()-Z"
179,"tBodyGyroJerk.sma..","TimeBodyGyroscopeJerk-SignalMagnitudeArea()"
180,"tBodyGyroJerk.energy...X","TimeBodyGyroscopeJerk-energy()-X"
181,"tBodyGyroJerk.energy...Y","TimeBodyGyroscopeJerk-energy()-Y"
182,"tBodyGyroJerk.energy...Z","TimeBodyGyroscopeJerk-energy()-Z"
183,"tBodyGyroJerk.iqr...X","TimeBodyGyroscopeJerk-InterquartileRange()-X"
184,"tBodyGyroJerk.iqr...Y","TimeBodyGyroscopeJerk-InterquartileRange()-Y"
185,"tBodyGyroJerk.iqr...Z","TimeBodyGyroscopeJerk-InterquartileRange()-Z"
186,"tBodyGyroJerk.entropy...X","TimeBodyGyroscopeJerk-entropy()-X"
187,"tBodyGyroJerk.entropy...Y","TimeBodyGyroscopeJerk-entropy()-Y"
188,"tBodyGyroJerk.entropy...Z","TimeBodyGyroscopeJerk-entropy()-Z"
189,"tBodyGyroJerk.arCoeff...X.1","TimeBodyGyroscopeJerk-arCoeff()-X,1"
190,"tBodyGyroJerk.arCoeff...X.2","TimeBodyGyroscopeJerk-arCoeff()-X,2"
191,"tBodyGyroJerk.arCoeff...X.3","TimeBodyGyroscopeJerk-arCoeff()-X,3"
192,"tBodyGyroJerk.arCoeff...X.4","TimeBodyGyroscopeJerk-arCoeff()-X,4"
193,"tBodyGyroJerk.arCoeff...Y.1","TimeBodyGyroscopeJerk-arCoeff()-Y,1"
194,"tBodyGyroJerk.arCoeff...Y.2","TimeBodyGyroscopeJerk-arCoeff()-Y,2"
195,"tBodyGyroJerk.arCoeff...Y.3","TimeBodyGyroscopeJerk-arCoeff()-Y,3"
196,"tBodyGyroJerk.arCoeff...Y.4","TimeBodyGyroscopeJerk-arCoeff()-Y,4"
197,"tBodyGyroJerk.arCoeff...Z.1","TimeBodyGyroscopeJerk-arCoeff()-Z,1"
198,"tBodyGyroJerk.arCoeff...Z.2","TimeBodyGyroscopeJerk-arCoeff()-Z,2"
199,"tBodyGyroJerk.arCoeff...Z.3","TimeBodyGyroscopeJerk-arCoeff()-Z,3"
200,"tBodyGyroJerk.arCoeff...Z.4","TimeBodyGyroscopeJerk-arCoeff()-Z,4"
201,"tBodyGyroJerk.correlation...X.Y","TimeBodyGyroscopeJerk-correlation()-X,Y"
202,"tBodyGyroJerk.correlation...X.Z","TimeBodyGyroscopeJerk-correlation()-X,Z"
203,"tBodyGyroJerk.correlation...Y.Z","TimeBodyGyroscopeJerk-correlation()-Y,Z"
204,"tBodyAccMag.mean..","TimeBodyAccelerometerMagnitudeMean()"
205,"tBodyAccMag.std..","TimeBodyAccelerometerMagnitudeStd()"
206,"tBodyAccMag.mad..","TimeBodyAccelerometerMagnitude-Median_Absolute_Deviation()"
207,"tBodyAccMag.max..","TimeBodyAccelerometerMagnitude-max()"
208,"tBodyAccMag.min..","TimeBodyAccelerometerMagnitude-min()"
209,"tBodyAccMag.sma..","TimeBodyAccelerometerMagnitude-SignalMagnitudeArea()"
210,"tBodyAccMag.energy..","TimeBodyAccelerometerMagnitude-energy()"
211,"tBodyAccMag.iqr..","TimeBodyAccelerometerMagnitude-InterquartileRange()"
212,"tBodyAccMag.entropy..","TimeBodyAccelerometerMagnitude-entropy()"
213,"tBodyAccMag.arCoeff..1","TimeBodyAccelerometerMagnitude-arCoeff()1"
214,"tBodyAccMag.arCoeff..2","TimeBodyAccelerometerMagnitude-arCoeff()2"
215,"tBodyAccMag.arCoeff..3","TimeBodyAccelerometerMagnitude-arCoeff()3"
216,"tBodyAccMag.arCoeff..4","TimeBodyAccelerometerMagnitude-arCoeff()4"
217,"tGravityAccMag.mean..","TimeGravityAccelerometerMagnitudeMean()"
218,"tGravityAccMag.std..","TimeGravityAccelerometerMagnitudeStd()"
219,"tGravityAccMag.mad..","TimeGravityAccelerometerMagnitude-Median_Absolute_Deviation()"
220,"tGravityAccMag.max..","TimeGravityAccelerometerMagnitude-max()"
221,"tGravityAccMag.min..","TimeGravityAccelerometerMagnitude-min()"
222,"tGravityAccMag.sma..","TimeGravityAccelerometerMagnitude-SignalMagnitudeArea()"
223,"tGravityAccMag.energy..","TimeGravityAccelerometerMagnitude-energy()"
224,"tGravityAccMag.iqr..","TimeGravityAccelerometerMagnitude-InterquartileRange()"
225,"tGravityAccMag.entropy..","TimeGravityAccelerometerMagnitude-entropy()"
226,"tGravityAccMag.arCoeff..1","TimeGravityAccelerometerMagnitude-arCoeff()1"
227,"tGravityAccMag.arCoeff..2","TimeGravityAccelerometerMagnitude-arCoeff()2"
228,"tGravityAccMag.arCoeff..3","TimeGravityAccelerometerMagnitude-arCoeff()3"
229,"tGravityAccMag.arCoeff..4","TimeGravityAccelerometerMagnitude-arCoeff()4"
230,"tBodyAccJerkMag.mean..","TimeBodyAccelerometerJerkMagnitudeMean()"
231,"tBodyAccJerkMag.std..","TimeBodyAccelerometerJerkMagnitudeStd()"
232,"tBodyAccJerkMag.mad..","TimeBodyAccelerometerJerkMagnitude-Median_Absolute_Deviation()"
233,"tBodyAccJerkMag.max..","TimeBodyAccelerometerJerkMagnitude-max()"
234,"tBodyAccJerkMag.min..","TimeBodyAccelerometerJerkMagnitude-min()"
235,"tBodyAccJerkMag.sma..","TimeBodyAccelerometerJerkMagnitude-SignalMagnitudeArea()"
236,"tBodyAccJerkMag.energy..","TimeBodyAccelerometerJerkMagnitude-energy()"
237,"tBodyAccJerkMag.iqr..","TimeBodyAccelerometerJerkMagnitude-InterquartileRange()"
238,"tBodyAccJerkMag.entropy..","TimeBodyAccelerometerJerkMagnitude-entropy()"
239,"tBodyAccJerkMag.arCoeff..1","TimeBodyAccelerometerJerkMagnitude-arCoeff()1"
240,"tBodyAccJerkMag.arCoeff..2","TimeBodyAccelerometerJerkMagnitude-arCoeff()2"
241,"tBodyAccJerkMag.arCoeff..3","TimeBodyAccelerometerJerkMagnitude-arCoeff()3"
242,"tBodyAccJerkMag.arCoeff..4","TimeBodyAccelerometerJerkMagnitude-arCoeff()4"
243,"tBodyGyroMag.mean..","TimeBodyGyroscopeMagnitudeMean()"
244,"tBodyGyroMag.std..","TimeBodyGyroscopeMagnitudeStd()"
245,"tBodyGyroMag.mad..","TimeBodyGyroscopeMagnitude-Median_Absolute_Deviation()"
246,"tBodyGyroMag.max..","TimeBodyGyroscopeMagnitude-max()"
247,"tBodyGyroMag.min..","TimeBodyGyroscopeMagnitude-min()"
248,"tBodyGyroMag.sma..","TimeBodyGyroscopeMagnitude-SignalMagnitudeArea()"
249,"tBodyGyroMag.energy..","TimeBodyGyroscopeMagnitude-energy()"
250,"tBodyGyroMag.iqr..","TimeBodyGyroscopeMagnitude-InterquartileRange()"
251,"tBodyGyroMag.entropy..","TimeBodyGyroscopeMagnitude-entropy()"
252,"tBodyGyroMag.arCoeff..1","TimeBodyGyroscopeMagnitude-arCoeff()1"
253,"tBodyGyroMag.arCoeff..2","TimeBodyGyroscopeMagnitude-arCoeff()2"
254,"tBodyGyroMag.arCoeff..3","TimeBodyGyroscopeMagnitude-arCoeff()3"
255,"tBodyGyroMag.arCoeff..4","TimeBodyGyroscopeMagnitude-arCoeff()4"
256,"tBodyGyroJerkMag.mean..","TimeBodyGyroscopeJerkMagnitudeMean()"
257,"tBodyGyroJerkMag.std..","TimeBodyGyroscopeJerkMagnitudeStd()"
258,"tBodyGyroJerkMag.mad..","TimeBodyGyroscopeJerkMagnitude-Median_Absolute_Deviation()"
259,"tBodyGyroJerkMag.max..","TimeBodyGyroscopeJerkMagnitude-max()"
260,"tBodyGyroJerkMag.min..","TimeBodyGyroscopeJerkMagnitude-min()"
261,"tBodyGyroJerkMag.sma..","TimeBodyGyroscopeJerkMagnitude-SignalMagnitudeArea()"
262,"tBodyGyroJerkMag.energy..","TimeBodyGyroscopeJerkMagnitude-energy()"
263,"tBodyGyroJerkMag.iqr..","TimeBodyGyroscopeJerkMagnitude-InterquartileRange()"
264,"tBodyGyroJerkMag.entropy..","TimeBodyGyroscopeJerkMagnitude-entropy()"
265,"tBodyGyroJerkMag.arCoeff..1","TimeBodyGyroscopeJerkMagnitude-arCoeff()1"
266,"tBodyGyroJerkMag.arCoeff..2","TimeBodyGyroscopeJerkMagnitude-arCoeff()2"
267,"tBodyGyroJerkMag.arCoeff..3","TimeBodyGyroscopeJerkMagnitude-arCoeff()3"
268,"tBodyGyroJerkMag.arCoeff..4","TimeBodyGyroscopeJerkMagnitude-arCoeff()4"
269,"fBodyAcc.mean...X","FrequencyBodyAccelerometerMean()-X"
270,"fBodyAcc.mean...Y","FrequencyBodyAccelerometerMean()-Y"
271,"fBodyAcc.mean...Z","FrequencyBodyAccelerometerMean()-Z"
272,"fBodyAcc.std...X","FrequencyBodyAccelerometerStd()-X"
273,"fBodyAcc.std...Y","FrequencyBodyAccelerometerStd()-Y"
274,"fBodyAcc.std...Z","FrequencyBodyAccelerometerStd()-Z"
275,"fBodyAcc.mad...X","FrequencyBodyAccelerometer-Median_Absolute_Deviation()-X"
276,"fBodyAcc.mad...Y","FrequencyBodyAccelerometer-Median_Absolute_Deviation()-Y"
277,"fBodyAcc.mad...Z","FrequencyBodyAccelerometer-Median_Absolute_Deviation()-Z"
278,"fBodyAcc.max...X","FrequencyBodyAccelerometer-max()-X"
279,"fBodyAcc.max...Y","FrequencyBodyAccelerometer-max()-Y"
280,"fBodyAcc.max...Z","FrequencyBodyAccelerometer-max()-Z"
281,"fBodyAcc.min...X","FrequencyBodyAccelerometer-min()-X"
282,"fBodyAcc.min...Y","FrequencyBodyAccelerometer-min()-Y"
283,"fBodyAcc.min...Z","FrequencyBodyAccelerometer-min()-Z"
284,"fBodyAcc.sma..","FrequencyBodyAccelerometer-SignalMagnitudeArea()"
285,"fBodyAcc.energy...X","FrequencyBodyAccelerometer-energy()-X"
286,"fBodyAcc.energy...Y","FrequencyBodyAccelerometer-energy()-Y"
287,"fBodyAcc.energy...Z","FrequencyBodyAccelerometer-energy()-Z"
288,"fBodyAcc.iqr...X","FrequencyBodyAccelerometer-InterquartileRange()-X"
289,"fBodyAcc.iqr...Y","FrequencyBodyAccelerometer-InterquartileRange()-Y"
290,"fBodyAcc.iqr...Z","FrequencyBodyAccelerometer-InterquartileRange()-Z"
291,"fBodyAcc.entropy...X","FrequencyBodyAccelerometer-entropy()-X"
292,"fBodyAcc.entropy...Y","FrequencyBodyAccelerometer-entropy()-Y"
293,"fBodyAcc.entropy...Z","FrequencyBodyAccelerometer-entropy()-Z"
294,"fBodyAcc.maxInds.X","FrequencyBodyAccelerometer-MaximumFrequencyMagnitudeIndex-X"
295,"fBodyAcc.maxInds.Y","FrequencyBodyAccelerometer-MaximumFrequencyMagnitudeIndex-Y"
296,"fBodyAcc.maxInds.Z","FrequencyBodyAccelerometer-MaximumFrequencyMagnitudeIndex-Z"
297,"fBodyAcc.meanFreq...X","FrequencyBodyAccelerometerMeanFrequency()-X"
298,"fBodyAcc.meanFreq...Y","FrequencyBodyAccelerometerMeanFrequency()-Y"
299,"fBodyAcc.meanFreq...Z","FrequencyBodyAccelerometerMeanFrequency()-Z"
300,"fBodyAcc.skewness...X","FrequencyBodyAccelerometer-skewness()-X"
301,"fBodyAcc.kurtosis...X","FrequencyBodyAccelerometer-kurtosis()-X"
302,"fBodyAcc.skewness...Y","FrequencyBodyAccelerometer-skewness()-Y"
303,"fBodyAcc.kurtosis...Y","FrequencyBodyAccelerometer-kurtosis()-Y"
304,"fBodyAcc.skewness...Z","FrequencyBodyAccelerometer-skewness()-Z"
305,"fBodyAcc.kurtosis...Z","FrequencyBodyAccelerometer-kurtosis()-Z"
306,"fBodyAcc.bandsEnergy...1.8","FrequencyBodyAccelerometer-bandsEnergy()-1,8"
307,"fBodyAcc.bandsEnergy...9.16","FrequencyBodyAccelerometer-bandsEnergy()-9,16"
308,"fBodyAcc.bandsEnergy...17.24","FrequencyBodyAccelerometer-bandsEnergy()-17,24"
309,"fBodyAcc.bandsEnergy...25.32","FrequencyBodyAccelerometer-bandsEnergy()-25,32"
310,"fBodyAcc.bandsEnergy...33.40","FrequencyBodyAccelerometer-bandsEnergy()-33,40"
311,"fBodyAcc.bandsEnergy...41.48","FrequencyBodyAccelerometer-bandsEnergy()-41,48"
312,"fBodyAcc.bandsEnergy...49.56","FrequencyBodyAccelerometer-bandsEnergy()-49,56"
313,"fBodyAcc.bandsEnergy...57.64","FrequencyBodyAccelerometer-bandsEnergy()-57,64"
314,"fBodyAcc.bandsEnergy...1.16","FrequencyBodyAccelerometer-bandsEnergy()-1,16"
315,"fBodyAcc.bandsEnergy...17.32","FrequencyBodyAccelerometer-bandsEnergy()-17,32"
